cik,company,event_date,source,chapter,sic,excluded_sic,reason,n_usgaap_tags,n_quarters_extracted
1059397,KOLORFUSION INTERNATIONAL INC,2010-08-02,8K_FTS+8K_SUBMISSIONS,,2750.0,,no 10-K/10-Q with a period end in 2010-2024,,
74783,ACCEPTANCE INSURANCE COMPANIES INC,2010-08-10,8K_FTS+8K_SUBMISSIONS,,6331.0,,no 10-K/10-Q with a period end in 2010-2024,,
314132,FLEETWOOD ENTERPRISES INC/DE/,2010-08-11,8K_FTS+8K_SUBMISSIONS,,3716.0,,no 10-K/10-Q with a period end in 2010-2024,,
1093273,MAGNA ENTERTAINMENT CORP,2010-08-12,8K_FTS+8K_SUBMISSIONS,,7948.0,,no 10-K/10-Q with a period end in 2010-2024,,
1157443,"nCoat, Inc.",2010-08-16,8K_FTS+8K_SUBMISSIONS,,3470.0,,no entry in companyfacts.zip (never filed XBRL),,
714756,"AMCORE Financial, Inc.",2010-08-19,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6021.0,,no 10-K/10-Q with a period end in 2010-2024,,
1329184,"Chartwell International, Inc.",2010-08-20,8K_FTS+8K_SUBMISSIONS,,4011.0,,no 10-K/10-Q with a period end in 2010-2024,,
878731,FINLAY ENTERPRISES INC /DE,2010-08-24,8K_FTS+8K_SUBMISSIONS,,5944.0,,no 10-K/10-Q with a period end in 2010-2024,,
1170833,COMMUNITY VALLEY BANCORP,2010-08-25,8K_FTS+8K_SUBMISSIONS,,6035.0,6035.0,SIC excluded (financial 6000-6799),,
1120427,SONOMA VALLEY BANCORP,2010-08-25,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
947425,PROFESSIONAL VETERINARY PRODUCTS LTD /NE/,2010-08-25,8K_FTS+8K_SUBMISSIONS,,5099.0,,no entry in companyfacts.zip (never filed XBRL),,
921549,"Trico Marine Services, Inc. (2010)",2010-08-25,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,4400.0,,no entry in companyfacts.zip (never filed XBRL),,
1063997,"Harrington West Financial Group, Inc.",2010-09-10,LOPUCKI,11.0,6035.0,,no 10-K/10-Q with a period end in 2010-2024,,
1122887,JAVA DETOUR INC.,2010-09-10,8K_FTS+8K_SUBMISSIONS,,5400.0,,no 10-K/10-Q with a period end in 2010-2024,,
898660,STATION CASINOS INC,2010-09-15,8K_FTS+8K_SUBMISSIONS,,7990.0,,no entry in companyfacts.zip (never filed XBRL),,
1074458,HORIZON BANCORPORATION INC,2010-09-17,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1402364,"Ultimate Escapes, Inc.",2010-09-20,8K_FTS+8K_SUBMISSIONS,,7011.0,,no entry in companyfacts.zip (never filed XBRL),,
1085734,Blockbuster Inc.,2010-09-23,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,7841.0,,no entry in companyfacts.zip (never filed XBRL),,
