cik,company,event_date,prior_event_date,n_events,all_event_dates,source,chapter,sic,is_primary_filer,date_discrepancy_days,in_window
1344564,Hartford Life Global Funding Trust 2005-140,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
1343927,Hartford Life Global Funding Trust 2005-135,2006-05-25,,1,2006-05-25,8K_SUBMISSIONS,,6189.0,1,,0
810370,AdAl Group Inc.,2006-06-07,,1,2006-06-07,8K_SUBMISSIONS,,9995.0,1,,0
1056112,"Werner Holding Co. (PA), Inc.",2006-06-12,,1,2006-06-12,LOPUCKI,11,3440,1,,0
837472,BOUNDLESS CORP,2006-06-13,,1,2006-06-13,8K_SUBMISSIONS,,6770.0,1,,0
1348263,Hartford Life Global Funding Trust 2005-155,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1348262,Hartford Life Global Funding Trust 2005-154,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1348261,Hartford Life Global Funding Trust 2005-153,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1347591,Hartford Life Global Funding Trust 2005-152,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1347590,Hartford Life Global Funding Trust 2005-151,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1347589,Hartford Life Global Funding Trust 2005-150,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1346898,Hartford Life Global Funding Trust 2005-149,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1346896,Hartford Life Global Funding Trust 2005-147,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1346201,Hartford Life Global Funding Trust 2005-144,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1346200,Hartford Life Global Funding Trust 2005-145,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1346199,Hartford Life Global Funding Trust 2005-146,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1345741,Hartford Life Global Funding Trust 2005-143,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1345739,Hartford Life Global Funding Trust 2005-142,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1345730,Hartford Life Global Funding Trust 2005-141,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
1346897,Hartford Life Global Funding Trust 2005-148,2006-06-27,,1,2006-06-27,8K_SUBMISSIONS,,6189.0,1,,0
911576,VESTA INSURANCE GROUP INC,2006-07-05,,1,2006-07-05,8K_SUBMISSIONS+LOPUCKI,11,6331.0,1,-13,0
1091325,"CHINA YIDA HOLDING, CO.",2006-07-07,,1,2006-07-07,8K_SUBMISSIONS,,7310.0,1,,0
1063842,IMAGE INNOVATIONS HOLDINGS INC,2006-07-11,,1,2006-07-11,8K_SUBMISSIONS,,5900.0,1,,0
722839,"OneTravel Holdings, Inc.",2006-07-12,,1,2006-07-12,8K_SUBMISSIONS,,6552.0,1,,0
4707,AMERICA CAPITAL CORP,2006-07-14,,2,2006-07-14;2009-02-09,8K_SUBMISSIONS,,6036.0,1,,0
99321,TRANSCAPITAL FINANCIAL CORP,2006-07-14,,2,2006-07-14;2008-09-26,8K_SUBMISSIONS,,6035.0,1,,0
1088022,IPIX CORP,2006-07-31,,1,2006-07-31,8K_SUBMISSIONS,,3861.0,1,,0
1109304,ARMSTRONG HOLDINGS INC /PA/,2006-08-18,,1,2006-08-18,8K_SUBMISSIONS,,3089.0,1,,0
1314642,Buck-A-Roo$ Holding CORP,2006-08-21,,2,2006-08-21;2007-10-09,8K_SUBMISSIONS,,5331.0,1,,0
1029893,Radnor Holdings Corporation,2006-08-21,,1,2006-08-21,8K_SUBMISSIONS+LOPUCKI,11,3086,1,2,0
1122380,Osiris CORP,2006-08-22,,1,2006-08-22,8K_SUBMISSIONS,,3531.0,1,,0
1047739,INLAND FIBER GROUP LLC,2006-08-24,,1,2006-08-24,8K_SUBMISSIONS,,800.0,1,,0
76791,"PORTRAIT CORP OF AMERICA, INC.",2006-09-07,,1,2006-09-07,8K_SUBMISSIONS,,7200.0,1,,0
797167,NATURADE INC,2006-09-07,,1,2006-09-07,8K_SUBMISSIONS,,2834.0,1,,0
797331,SECURED INVESTMENT RESOURCES FUND LP II,2006-09-15,,1,2006-09-15,8K_SUBMISSIONS,,6500.0,1,,0
1001903,ELINEAR INC,2006-09-18,,1,2006-09-18,8K_SUBMISSIONS,,7373.0,1,,0
1286546,PREMIER FINANCE BILOXI CORP,2006-09-19,,1,2006-09-19,8K_SUBMISSIONS,,,1,,0
1286382,PREMIER ENTERTAINMENT BILOXI LLC,2006-09-19,,1,2006-09-19,8K_SUBMISSIONS+LOPUCKI,11,7990.0,1,0,0
85417,ROWE COMPANIES,2006-09-22,,1,2006-09-22,8K_SUBMISSIONS,,2510.0,1,,0
1038274,ANVIL HOLDINGS INC,2006-10-06,,1,2006-10-06,8K_SUBMISSIONS,,2253.0,1,,0
860131,Wave Sync Corp.,2006-10-06,,1,2006-10-06,8K_SUBMISSIONS,,2860.0,1,,0
806624,DELTA WOODSIDE INDUSTRIES INC /SC/,2006-10-13,,2,2006-10-13;2007-10-15,8K_SUBMISSIONS,,2211.0,1,,0
88095,Sea Containers Ltd.,2006-10-15,,2,2006-10-15;2008-12-02,8K_SUBMISSIONS+LOPUCKI,11,4400,1,4,0
932127,ADDISON DAVIS DIAGNOSTICS,2006-10-19,,1,2006-10-19,8K_SUBMISSIONS,,2834.0,1,,0
1016177,"Dura Automotive Systems, Inc.",2006-10-30,,2,2006-10-30;2008-05-19,8K_SUBMISSIONS+LOPUCKI,11,3714,1,4,0
935493,AZZURRA HOLDING CORP,2006-11-01,,1,2006-11-01,8K_SUBMISSIONS,,3663.0,1,,0
1114365,CURON MEDICAL INC,2006-11-15,,1,2006-11-15,8K_SUBMISSIONS,,3845.0,1,,0
30197,DRIVER HARRIS CO,2006-11-17,,1,2006-11-17,8K_SUBMISSIONS,,3350.0,1,,0
1029738,LIFESTREAM TECHNOLOGIES INC,2006-12-01,,1,2006-12-01,8K_SUBMISSIONS,,3841.0,1,,0
1020477,"Rotate Black, Inc.",2006-12-01,,1,2006-12-01,8K_SUBMISSIONS,,7011.0,1,,0
888507,PRESIDENT CASINOS INC,2006-12-08,,2,2006-12-08;2009-01-30,8K_SUBMISSIONS,,7990.0,1,,0
320573,INTERNATIONAL THOROUGHBRED BREEDERS INC,2006-12-08,,1,2006-12-08,8K_SUBMISSIONS,,7948.0,1,,0
1001463,"Acacia Diversified Holdings, Inc.",2006-12-08,,1,2006-12-08,8K_SUBMISSIONS,,5010.0,1,,0
839621,Granite Broadcasting Corporation,2006-12-11,,1,2006-12-11,8K_SUBMISSIONS+LOPUCKI,11,4833,1,2,0
773603,LIQUITEK ENTERPRISES INC,2006-12-14,,1,2006-12-14,8K_SUBMISSIONS,,3470.0,1,,0
854858,AJAY SPORTS INC,2007-01-03,,1,2007-01-03,8K_SUBMISSIONS,,3949.0,1,,0
1160437,MEDICAL STAFFING SOLUTIONS INC,2007-01-05,,1,2007-01-05,8K_SUBMISSIONS,,7363.0,1,,0
93542,ENESCO GROUP INC,2007-01-16,,1,2007-01-16,8K_SUBMISSIONS,,5190.0,1,,0
911801,EARTHSHELL CORP,2007-01-22,,1,2007-01-22,8K_SUBMISSIONS,,2650.0,1,,0
1141197,PEDEVCO CORP,2007-01-22,,1,2007-01-22,8K_SUBMISSIONS,,1311.0,1,,0
1096509,"Trinsic, Inc.",2007-02-08,,1,2007-02-08,8K_SUBMISSIONS,,4813.0,1,,0
1133598,"DealerAdvance, Inc.",2007-02-09,,1,2007-02-09,8K_SUBMISSIONS,,3576.0,1,,0
1045739,"ETELOS, INC.",2007-02-14,,1,2007-02-14,8K_SUBMISSIONS,,7372.0,1,,0
1092605,EMERGE INTERACTIVE INC,2007-02-14,,1,2007-02-14,8K_SUBMISSIONS,,7389.0,1,,0
